ObjID,ra,dec,distance,modelMag_u,modelMagErr_u,modelMag_g,modelMagErr_g,modelMag_r,modelMagErr_r,modelMag_i,modelMagErr_i,modelMag_z,modelMagErr_z,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,z,zErr
1237678879408128627,355.743153067391,-3.48632746932759,6.73378928666294,21.44622,0.2089441,20.00916,0.02523946,19.36608,0.02205592,18.95688,0.02252463,18.74317,0.06596082,20.95964,0.04945387,20.46473,0.03101958,20.13853,0.03161985,19.84204,0.08501158,0.136587,0.041222
1237678879408128555,355.719499782221,-3.48681611399132,6.82441831865929,22.56804,0.4404491,21.4511,0.06583528,20.44614,0.04243667,20.19617,0.04856051,20.00135,0.1626583,22.00624,0.07771724,21.07314,0.04808587,20.94904,0.05719308,20.65736,0.1693962,0.364861,0.091053
1237678879408128588,355.73044916815,-3.45322210606493,4.74741267578295,23.96058,1.151797,23.53592,0.3652622,21.86255,0.1361904,22.46492,0.3277605,22.36356,0.8361323,23.86918,0.3691435,22.3653,0.1449973,23.04878,0.3475758,22.15489,0.5084184,0.094088,0.082819
1237678879408128596,355.735010527458,-3.48637768158133,6.7244640829846,23.00604,1.188712,21.74276,0.1617278,20.58774,0.09627886,20.17684,0.0944776,19.53278,0.1993478,22.74556,0.2085644,22.08137,0.1109974,21.65186,0.1024753,21.23364,0.2741387,0.377576,0.09731
1237678879408128646,355.749695052519,-3.48989737479336,6.98190452177043,21.96554,0.5195943,20.53558,0.05928187,19.16331,0.02964113,18.6042,0.02633616,18.10391,0.06343911,22.20739,0.09031136,21.06388,0.04784522,20.51747,0.04093447,19.87508,0.08740211,0.320594,0.055041
1237678879408128652,355.752514252591,-3.49088523681256,7.06210133389105,22.18673,0.3861882,22.0148,0.1338602,21.23562,0.1009313,20.96742,0.116418,20.45527,0.2712372,22.73986,0.1381151,22.03125,0.1064762,21.78919,0.1151516,21.33437,0.2974686,0.429093,0.106672
1237678879408128276,355.742890951425,-3.46912747631199,5.7029775532167,21.69163,0.1798044,23.26253,0.2520023,22.27173,0.1616009,22.04799,0.185179,20.63786,0.2029462,23.44369,0.2471589,22.48746,0.1570674,22.2208,0.1669997,20.75439,0.1822228,0.998649,0.120654
1237678879408128286,355.758202463194,-3.46937358084431,5.85352684357963,20.14046,0.1977925,28.73937,0.2612747,22.8965,1.554812,27.37662,0.569426,20.11021,0.7079285,26.2844,0.3532068,24.43791,0.6184711,25.16114,0.460679,22.75483,0.6085111,-9999,-9999
1237678879408128587,355.732069076294,-3.45416409663611,4.79775384330445,21.83037,0.4850665,21.05376,0.09791649,19.8506,0.05503514,19.03397,0.03877487,18.55214,0.1152621,22.49598,0.1144381,21.54705,0.07189684,20.76942,0.04995173,20.18207,0.1112759,0.53635,0.053336
1237678879408128650,355.750707143069,-3.44648331916391,4.41623866590658,24.92214,1.078225,22.88534,0.1642599,22.57652,0.1844184,22.28149,0.1953912,22.29363,0.580179,22.92198,0.1615314,22.57658,0.1692302,22.33039,0.1829179,22.33769,0.5492578,0.245973,0.072072
