,chips,ra,dec,priority
0,CHIPS0146-2408,26.60833,-24.14222,C
1,CHIPS0211-1558,32.95792,-15.96931,C
2,CHIPS0225-2312,36.26208,-23.215,B
3,CHIPS0235-1321,38.91833,-13.35444,A
4,CHIPS0237-2630,39.365,-26.5075,A
5,CHIPS1921-2025,290.3479,-20.42333,B
6,CHIPS1922-1632,290.63959,-16.54764,A
7,CHIPS1936-1441,294.12082,-14.69778,B
8,CHIPS2011-1546,302.81961,-15.77542,A
9,CHIPS2024-0848,306.12042,-8.80292,B
10,CHIPS2039-1958,309.79416,-19.98014,B
11,CHIPS2042-2219,310.57126,-22.31806,C
12,CHIPS2043-2144,310.80875,-21.73806,B
13,CHIPS2108-2653,317.23044,-26.89722,D
14,CHIPS2121-2629,320.32791,-26.48597,C
15,CHIPS2125-2555,321.31958,-25.925,B
16,CHIPS2129-1538,322.30377,-15.64625,B
17,CHIPS2131-0915,322.89792,-9.25708,B
18,CHIPS2132-2626,323.12918,-26.43653,A
19,CHIPS2135-2206,323.97543,-22.1,B
20,CHIPS2135-0940,323.99124,-9.67,C
21,CHIPS2200-2307,330.16708,-23.12528,B
22,CHIPS2244-2506,341.1875,-25.09986,A
23,CHIPS2246-2854,341.64334,-28.9,C
24,CHIPS2249-2808,342.46207,-28.13903,A
25,CHIPS2303-1841,345.76541,-18.69194,A
